after_s2_before_true,b_hdbscan_noise_points,b_hdbscan_noise_singleton_residual,clustering_backend_note,fast_after_true,fast_delta_true,fast_effective_total_reduction_pct,frozen_index,hdbscan_actually_used,hdbscan_runtime_available,old_after_true,old_delta_true,old_effective_total_reduction_pct,rewrite_a_intro_true,rewrite_a_net_true,rewrite_a_saved_true,rewrite_after_true,rewrite_b_intro_true,rewrite_b_net_true,rewrite_b_saved_true,rewrite_delta_true,rewrite_effective_total_reduction_pct,rewrite_net_true,route_initial_comments,route_initial_delete_now,route_initial_docstrings,route_initial_reference,route_initial_retain_for_b,route_profile,source_id
627,0,0,,627,0,0.000000,99,,,627,0,0.000000,0,0,0,627,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:99
3175,0,0,,3175,0,0.000000,100,,,3175,0,0.000000,0,0,0,3175,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:100
66,0,0,,60,6,9.090909,101,,,66,0,0.000000,0,0,0,66,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:101
637,0,0,,613,24,3.767661,102,,,613,24,3.767661,0,0,0,637,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:102
417,0,0,,403,14,3.357314,103,,,405,12,2.877698,0,0,0,417,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:103
895,0,0,,895,0,0.000000,104,,,883,12,1.340782,0,0,0,895,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:104
211,1,1,lexical_jaccard_fallback_explicit,211,0,0.000000,105,False,False,211,0,0.000000,0,0,0,254,56,58,114,-43,-20.379147,58,0,0,0,22,0,rewrite_recovery_v2,frozen:105
102,0,0,,102,0,0.000000,106,,,102,0,0.000000,0,0,0,102,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:106
300,0,0,,282,18,6.000000,107,,,300,0,0.000000,0,0,0,300,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:107
1661,0,0,,1537,124,7.465382,108,,,1537,124,7.465382,0,0,0,1661,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:108
961,0,0,,961,0,0.000000,109,,,946,15,1.560874,0,0,0,961,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:109
639,2,2,lexical_jaccard_fallback_explicit,639,0,0.000000,110,False,False,639,0,0.000000,0,0,0,639,0,0,0,0,0.000000,0,2,0,0,0,2,rewrite_recovery_v2,frozen:110
2375,0,0,,2375,0,0.000000,111,,,2375,0,0.000000,0,0,0,2375,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:111
669,0,0,,669,0,0.000000,112,,,669,0,0.000000,0,0,0,669,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:112
355,0,0,,319,36,10.140845,113,,,337,18,5.070423,0,0,0,355,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:113
1723,0,0,,1723,0,0.000000,114,,,1704,19,1.102728,0,0,0,1723,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:114
263,0,0,,263,0,0.000000,115,,,245,18,6.844106,0,0,0,263,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:115
28,0,0,,28,0,0.000000,116,,,28,0,0.000000,0,0,0,28,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:116
15449,0,0,,14042,1407,9.107386,117,,,14454,995,6.440546,0,0,0,15449,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:117
1176,1,1,lexical_jaccard_fallback_explicit,1176,0,0.000000,118,False,False,1133,43,3.656463,0,0,0,1176,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:118
1685,1,1,lexical_jaccard_fallback_explicit,1369,316,18.753709,119,False,False,1369,316,18.753709,0,0,0,1685,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:119
3685,1,1,lexical_jaccard_fallback_explicit,3685,0,0.000000,120,False,False,3685,0,0.000000,0,0,0,3685,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:120
241,0,0,,241,0,0.000000,121,,,241,0,0.000000,0,0,0,241,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:121
324,1,1,lexical_jaccard_fallback_explicit,324,0,0.000000,122,False,False,324,0,0.000000,0,0,0,324,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:122
43,0,0,,43,0,0.000000,123,,,43,0,0.000000,0,0,0,43,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:123
1468,1,1,lexical_jaccard_fallback_explicit,1468,0,0.000000,124,False,False,1435,33,2.247956,0,0,0,1468,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:124
740,0,0,,740,0,0.000000,125,,,740,0,0.000000,0,0,0,740,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:125
459,0,0,,459,0,0.000000,126,,,459,0,0.000000,0,0,0,459,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:126
104,0,0,,104,0,0.000000,127,,,104,0,0.000000,0,0,0,104,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:127
2248,0,0,,2214,34,1.512456,128,,,2224,24,1.067616,0,0,0,2248,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:128
169,0,0,,157,12,7.100592,129,,,169,0,0.000000,0,0,0,169,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:129
504,2,2,lexical_jaccard_fallback_explicit,504,0,0.000000,130,False,False,489,15,2.976190,0,0,0,504,0,0,0,0,0.000000,0,2,0,0,0,2,rewrite_recovery_v2,frozen:130
1591,0,0,,1591,0,0.000000,131,,,1591,0,0.000000,0,0,0,1591,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:131
